SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  04/28/13 19:09:01.0,   3.3886715698244E+01,   1.6911546428578E+02,   3.9619621727731E+01,   3.5998911617564E+01
  04/28/13 19:14:01.0,   3.3894553012090E+01,   1.6915196749835E+02,   3.9604009974450E+01,   3.5979901624804E+01
  04/28/13 19:19:01.0,   3.3904162316508E+01,   1.6907631591289E+02,   3.9649483932048E+01,   3.5984264222981E+01
  04/28/13 19:24:01.0,   3.3900510537529E+01,   1.6911188770535E+02,   3.9613188231533E+01,   3.5943767160916E+01
  04/28/13 19:29:01.0,   3.3927346339485E+01,   1.6905686503773E+02,   3.9673322147290E+01,   3.6045847061285E+01
  04/28/13 19:34:01.0,   3.3966131322662E+01,   1.6907155462429E+02,   3.9686729085438E+01,   3.6043130761920E+01
  04/28/13 19:39:01.0,   3.3936058565751E+01,   1.6907631591289E+02,   3.9721083334171E+01,   3.6019438165276E+01
  04/28/13 19:44:01.0,   3.3978051268560E+01,   1.6905145140578E+02,   3.9677527548685E+01,   3.6046147313662E+01
  04/28/13 19:49:01.0,   3.3988324007482E+01,   1.6915461265868E+02,   3.9721065244754E+01,   3.5995979252087E+01
  04/28/13 19:54:01.0,   3.3998914005535E+01,   1.6913186427983E+02,   3.9698968862419E+01,   3.6028085830785E+01
  04/28/13 19:59:01.0,   3.4034783950713E+01,   1.6911546428578E+02,   3.9765851504225E+01,   3.6028246471137E+01
  04/28/13 20:04:01.0,   3.4049621439583E+01,   1.6913186427983E+02,   3.9708167287663E+01,   3.6034109069708E+01
  04/28/13 20:09:01.0,   3.4069636065949E+01,   1.6895887079421E+02,   3.9798693110353E+01,   3.6048792225764E+01
  04/28/13 20:14:01.0,   3.4088413840338E+01,   1.6917207071686E+02,   3.9781734434334E+01,   3.6094366077322E+01
  04/28/13 20:19:01.0,   3.4127735624657E+01,   1.6909589009934E+02,   3.9768826486894E+01,   3.6048763400185E+01
  04/28/13 20:24:01.0,   3.4130173586510E+01,   1.6907155462429E+02,   3.9824668095455E+01,   3.6097371120123E+01
  04/28/13 20:29:01.0,   3.4124833682944E+01,   1.6913503847223E+02,   3.9789735219470E+01,   3.6119197773556E+01
  04/28/13 20:34:01.0,   3.4171949648598E+01,   1.6915196749835E+02,   3.9757261152795E+01,   3.6118473803467E+01
  04/28/13 20:39:01.0,   3.4142272454346E+01,   1.6909589009934E+02,   3.9861384470635E+01,   3.6127998076386E+01
  04/28/13 20:44:01.0,   3.4180913683188E+01,   1.6909165784281E+02,   3.9812400462358E+01,   3.6106424051943E+01
  04/28/13 20:49:01.0,   3.4153889836851E+01,   1.6919376103157E+02,   3.9813606701812E+01,   3.6119183361768E+01
  04/28/13 20:54:01.0,   3.4222717556885E+01,   1.6905145140578E+02,   3.9858411079879E+01,   3.6133548330719E+01
  04/28/13 20:59:01.0,   3.4241096497871E+01,   1.6909589009934E+02,   3.9882299148330E+01,   3.6180812638031E+01
  04/28/13 21:04:01.0,   3.4279434804809E+01,   1.6911176106132E+02,   3.9904400098334E+01,   3.6127508663904E+01
  04/28/13 21:09:01.0,   3.4296349840715E+01,   1.6909589009934E+02,   3.9915167689647E+01,   3.6192551702228E+01
  04/28/13 21:14:01.0,   3.4267490367668E+01,   1.6913186427983E+02,   3.9895210962220E+01,   3.6151634483188E+01
  04/28/13 21:19:01.0,   3.4278903120517E+01,   1.6913503847223E+02,   3.9948010655976E+01,   3.6174951101639E+01
  04/28/13 21:24:01.0,   3.4315273017980E+01,   1.6909165784281E+02,   3.9950423086239E+01,   3.6220962506200E+01
  04/28/13 21:29:01.0,   3.4366140089992E+01,   1.6913503847223E+02,   3.9924097008971E+01,   3.6177893074225E+01
  04/28/13 21:34:01.0,   3.4389964245820E+01,   1.6911176106132E+02,   3.9959630728938E+01,   3.6230023652789E+01
  04/28/13 21:39:01.0,   3.4357415114112E+01,   1.6899814247839E+02,   3.9992799985490E+01,   3.6160271685377E+01
  04/28/13 21:44:01.0,   3.4395943000375E+01,   1.6907155462429E+02,   3.9944281562705E+01,   3.6169709122980E+01
  04/28/13 21:49:01.0,   3.4418513869083E+01,   1.6915461265868E+02,   4.0031669443702E+01,   3.6242467506931E+01
  04/28/13 21:54:01.0,   3.4467683403152E+01,   1.6897116517576E+02,   4.0030201353502E+01,   3.6230008870781E+01
  04/28/13 21:59:01.0,   3.4459260750835E+01,   1.6909589009934E+02,   3.9971886822608E+01,   3.6218976589678E+01
  04/28/13 22:04:01.0,   3.4476639245903E+01,   1.6909178448684E+02,   4.0067030485528E+01,   3.6287308482670E+01
  04/28/13 22:09:01.0,   3.4479634999675E+01,   1.6907631591289E+02,   4.0022701096212E+01,   3.6274766729248E+01
  04/28/13 22:14:01.0,   3.4467666980560E+01,   1.6913186427983E+02,   4.0051699769292E+01,   3.6239056861275E+01
  04/28/13 22:19:01.0,   3.4523310971554E+01,   1.6905674172644E+02,   4.0055553088770E+01,   3.6286532968368E+01
  04/28/13 22:24:01.0,   3.4461701343906E+01,   1.6907155462429E+02,   4.0094671961755E+01,   3.6275248865322E+01
  04/28/13 22:29:01.0,   3.4529121211484E+01,   1.6911546428578E+02,   4.0076500761389E+01,   3.6310035074643E+01
  04/28/13 22:34:01.0,   3.4560374946084E+01,   1.6909165784281E+02,   4.0079328995423E+01,   3.6326525238450E+01
  04/28/13 22:39:01.0,   3.4532042329922E+01,   1.6911546428578E+02,   4.0088456095766E+01,   3.6330568064227E+01
  04/28/13 22:44:01.0,   3.4578296491445E+01,   1.6913186427983E+02,   4.0143807243061E+01,   3.6323510328243E+01
  04/28/13 22:49:01.0,   3.4578610644762E+01,   1.6895899410550E+02,   4.0187096020749E+01,   3.6295333281016E+01
