SPACECRAFT DATE/TIME ,   adcs_main ADRW1TCMD,   adcs_main ADRW2TCMD,   adcs_main ADRW3TCMD,   adcs_main ADRW4TCMD
        UTC          ,                    DN,                    DN,                    DN,                    DN
  07/04/12 19:21:21.0,  -8.8451323968669E-03,  -1.1598428307722E-02,   4.1001586138736E-03,   4.6542875616190E-03
  07/04/12 19:26:21.0,  -8.8531574482719E-03,  -1.1651221998036E-02,   4.1536614661648E-03,   4.5807774613301E-03
  07/04/12 19:31:21.0,  -8.7840762237708E-03,  -1.1782044507563E-02,   4.1992050785727E-03,   4.3657597783022E-03
  07/04/12 19:36:21.0,  -8.9489645448824E-03,  -1.1625776210179E-02,   3.9596149507755E-03,   4.4759705554073E-03
  07/04/12 19:41:21.0,  -8.8523418704669E-03,  -1.1665000114590E-02,   4.0209840111978E-03,   4.4411729237375E-03
  07/04/12 19:46:21.0,  -8.9144542937477E-03,  -1.1827105935663E-02,   4.1335867729504E-03,   4.5034167205449E-03
  07/04/12 19:51:21.0,  -9.0691909442345E-03,  -1.1819884218276E-02,   4.0556213810729E-03,   4.5890388461218E-03
  07/04/12 19:56:21.0,  -8.8357126464446E-03,  -1.2029804556320E-02,   4.2043050004092E-03,   4.3179083289579E-03
  07/04/12 20:01:21.0,  -8.9908283141752E-03,  -1.1702490548293E-02,   4.0124328558644E-03,   4.5531241983796E-03
  07/04/12 20:06:21.0,  -9.0831700091561E-03,  -1.1747916806489E-02,   3.9357221852212E-03,   4.4663469450704E-03
  07/04/12 20:11:21.0,  -8.8798067035774E-03,  -1.1951175034046E-02,   4.1589385441815E-03,   4.3088873633436E-03
  07/04/12 20:16:21.0,  -9.0439484206339E-03,  -1.1574789937586E-02,   3.9487107043775E-03,   4.5601431439475E-03
  07/04/12 20:21:21.0,  -8.9298543644448E-03,  -1.1898497249931E-02,   4.1426843125373E-03,   4.4264129953808E-03
  07/04/12 20:26:21.0,  -8.9916888376077E-03,  -1.1992659587413E-02,   4.1205574848573E-03,   4.3731644501289E-03
  07/04/12 20:31:21.0,  -9.0297832836707E-03,  -1.1912575339278E-02,   4.0759900204527E-03,   4.4548997748643E-03
