SPACECRAFT DATE/TIME ,   adcs_main ADATTERRX,   adcs_main ADATTERRY,   adcs_main ADATTERRZ
        UTC          ,                    DN,                    DN,                    DN
  01/28/13 10:35:00.0,  -2.3299546833186E-05,  -2.5252717038408E-06,  -9.3089204663481E-07
  01/28/13 10:40:00.0,  -2.2305679804380E-05,  -3.5894519517872E-06,   7.6690335902185E-07
  01/28/13 10:45:00.0,  -2.2900422571486E-05,  -3.4130205521402E-06,   1.7491720878600E-06
  01/28/13 10:50:00.0,  -2.3640474870869E-05,  -4.1416694299793E-06,   3.1073771784425E-07
  01/28/13 10:55:00.0,  -2.2952229016179E-05,  -3.5818710203254E-06,   8.3054204916759E-07
  01/28/13 11:00:00.0,  -1.9442987587960E-05,  -5.1961693939025E-06,   2.8353765547232E-06
  01/28/13 11:05:00.0,  -2.0880337331922E-05,  -4.4063326873811E-06,   1.3863103655432E-06
  01/28/13 11:10:00.0,  -2.3430894839294E-05,  -3.1129043707286E-06,  -7.6377082981101E-08
  01/28/13 11:15:00.0,  -2.2213007936974E-05,  -3.4062666677907E-06,   7.7214839014535E-07
  01/28/13 11:20:00.0,  -2.1249542324237E-05,  -2.8261710721722E-06,  -9.1061591926215E-09
  01/28/13 11:25:00.0,  -2.3019701426392E-05,  -2.5848363145305E-06,   5.3499514242124E-07
  01/28/13 11:30:00.0,  -2.3195315331653E-05,  -3.0005907041186E-06,  -5.4244020892232E-07
  01/28/13 11:35:00.0,  -2.0651699869347E-05,  -4.1802007109482E-06,   2.4339837062826E-06
  01/28/13 11:40:00.0,  -2.5109519416257E-05,  -2.2019150287633E-06,  -1.0392889841645E-06
  01/28/13 11:45:00.0,  -2.1535468136638E-05,  -5.1271447428765E-06,   1.7875106757496E-06
  01/28/13 11:50:00.0,  -2.1162870027638E-05,  -3.0294136893616E-06,  -1.1040615254624E-07
  01/28/13 11:55:00.0,  -2.0881705122520E-05,  -4.9965769918951E-06,   2.4174734562621E-06
  01/28/13 12:00:00.0,  -2.3212180768345E-05,  -5.4454031735910E-06,  -1.1513482604641E-07
  01/28/13 12:05:00.0,  -2.0973015912205E-05,  -6.4795835322684E-06,   1.9092289479280E-06
  01/28/13 12:10:00.0,  -2.2009248190974E-05,  -3.0731197421119E-06,   4.5751299239782E-07
  01/28/13 12:15:00.0,  -2.1199848039638E-05,  -3.8098321994084E-06,   1.0424696176869E-06
  01/28/13 12:20:00.0,  -2.0624104657069E-05,  -4.1097340992261E-06,   2.0785335287125E-06
  01/28/13 12:25:00.0,  -2.1203601849796E-05,  -5.3052577324782E-06,   2.4308955375811E-06
  01/28/13 12:30:00.0,  -2.2982186590828E-05,  -2.7895678475905E-06,   6.3440926519813E-07
  01/28/13 12:35:00.0,  -1.9078023102400E-05,  -5.7490047153201E-06,   3.9379257800457E-06
  01/28/13 12:40:00.0,  -2.1976079766925E-05,  -3.4632136959090E-06,   7.5751429828112E-07
  01/28/13 12:45:00.0,  -2.3125406063021E-05,  -2.9411180067503E-06,  -3.4854839630801E-07
  01/28/13 12:50:00.0,  -2.1143552843104E-05,  -5.2319064692104E-06,   1.9839548845842E-06
  01/28/13 12:55:00.0,  -2.1240597986889E-05,  -4.8241857764945E-06,   2.6737957369960E-06
  01/28/13 13:00:00.0,  -2.1186013818806E-05,  -4.5453144840243E-06,   7.5151058640680E-07
  01/28/13 13:05:00.0,  -2.2080610902246E-05,  -4.2800483542275E-06,   1.2441387466803E-06
  01/28/13 13:10:00.0,  -1.9399252470294E-05,  -5.7170045153043E-06,   2.4299286929382E-06
  01/28/13 13:15:00.0,  -1.9914896458033E-05,  -6.2253392043961E-06,   2.8674477933540E-06
  01/28/13 13:20:00.0,  -2.2328139532419E-05,  -5.9340079284690E-06,   1.1569061283486E-06
  01/28/13 13:25:00.0,  -2.1650365800951E-05,  -2.9566903126958E-06,   7.6919435969103E-07
  01/28/13 13:30:00.0,  -2.1534639804107E-05,  -3.2366658852349E-06,   9.1480843290507E-07
  01/28/13 13:35:00.0,  -2.2070542237695E-05,  -2.0505039485859E-06,   1.7396906448160E-07
  01/28/13 13:40:00.0,  -2.1793301327762E-05,  -4.9567466537799E-06,   1.8611748517590E-06
  01/28/13 13:45:00.0,  -2.2079258988583E-05,  -5.8322761098376E-06,   2.5597340141796E-06
  01/28/13 13:50:00.0,  -2.1894887201294E-05,  -3.1230179546545E-06,   2.8244906270440E-07
